what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1319527462690
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1319527462812
activated,view,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.views.FlashExplorer",1319527464618
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1319527464618
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527467526
error,log,,,"FDT log: Resource '/NIPhysics/src' does not exist.",1319527490290
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527490506
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1319527490522
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1319527490934
started,bundle,org.eclipse.pde.core,3.5.0.v20090602,"org.eclipse.pde.core",1319527491026
started,bundle,org.eclipse.wst.jsdt.core,1.0.200.v200905201910,"org.eclipse.wst.jsdt.core",1319527492051
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1319527492936
started,bundle,org.eclipse.jpt.core,2.2.0.v200906070220,"org.eclipse.jpt.core",1319527493009
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1319527493114
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1319527495332
error,log,,,"FDT log: No message gotten.",1319527500176
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1319527500248
opened,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527500452
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527500640
started,bundle,org.eclipse.wst.server.core,1.1.101.v20090515,"org.eclipse.wst.server.core",1319527504741
started,bundle,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui",1319527504760
started,bundle,com.powerflasher.fdt.swfviewer,3.5.0.1094,"com.powerflasher.fdt.swfviewer",1319527505129
error,log,,,"FDT log: No message gotten.",1319527505132
error,log,,,"Unhandled event loop exception",1319527505133
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1319527513670
