what,kind,bundleId,bundleVersion,description,time
error,log,,,"FDT log: Resource '/NIPhysics/src' does not exist.",1319527643695
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527643759
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1319527643778
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1319527643778
opened,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527656852
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527656886
error,log,,,"Unhandled event loop exception",1319527661681
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1319527664784
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527666645
activated,view,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.views.FlashExplorer",1319527667608
error,log,,,"Unhandled event loop exception",1319527682605
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527688404
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527698001
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527706378
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527706408
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527711157
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527713099
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527722148
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527751776
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527751788
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527753766
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527765102
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527766632
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527766853
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527769019
